,id,name,lon,lat
0,1,- MiniBacia.MGB.1,-56.833167156626416,-14.336580160150447
1,2,- MiniBacia.MGB.2,-47.49886406516696,-16.34389313177683
2,3,VILA CANOAS - MiniBacia.MGB.3,-49.60001443598066,-27.97412325286498
3,4,- MiniBacia.MGB.4,-66.25145854666512,-24.671550872603262
4,5,- MiniBacia.MGB.5,-44.569731191091456,-22.024018842724068
5,6,- MiniBacia.MGB.6,-66.44525155225074,-22.70098552821992
6,7,- MiniBacia.MGB.7,-53.88391847110986,-17.479410649608642
7,8,- MiniBacia.MGB.8,-65.40069143803015,-22.89649502536478
8,9,- MiniBacia.MGB.9,-48.09685459122137,-23.988280538650415
9,10,- MiniBacia.MGB.10,-62.868988708360256,-20.621745408266055
10,11,- MiniBacia.MGB.11,-46.039711247824066,-23.5989903061803
11,12,- MiniBacia.MGB.12,-55.50101577736165,-31.101431778312154
12,13,- MiniBacia.MGB.13,-61.16487750949236,-19.067738471494962
13,14,- MiniBacia.MGB.14,-63.814900436902334,-25.37850837883214
14,15,- MiniBacia.MGB.15,-49.279421081072556,-26.093557966161033
15,16,- MiniBacia.MGB.16,-63.72937177820215,-22.883816647171944
16,17,- MiniBacia.MGB.17,-60.462409881135635,-16.59655317283593
17,18,- MiniBacia.MGB.18,-64.77195197963164,-32.22175206694215
18,19,- MiniBacia.MGB.19,-54.62312248752083,-31.238563141386436
19,20,- MiniBacia.MGB.20,-55.966769580859925,-21.817375792958558
20,21,- MiniBacia.MGB.21,-54.44764222253705,-19.42427715481791
21,22,- MiniBacia.MGB.22,-55.3738304562305,-21.29267012436592
22,23,RIO DOS PATOS - MiniBacia.MGB.23,-50.9771958052838,-25.39255257849564
23,24,- MiniBacia.MGB.24,-46.370581371015334,-22.308922821860502
24,25,- MiniBacia.MGB.25,-49.67291011555887,-16.40682235259843
25,26,- MiniBacia.MGB.26,-48.8309665632009,-16.038536329891503
26,27,- MiniBacia.MGB.27,-54.40345371274438,-20.47152697411815
27,28,- MiniBacia.MGB.28,-63.71474090388786,-23.802392330745622
28,29,- MiniBacia.MGB.29,-55.0584730485875,-18.705320276672136
29,30,- MiniBacia.MGB.30,-55.60184799569025,-26.209782010304455
30,31,- MiniBacia.MGB.31,-56.64859723023988,-27.934750245823874
31,32,- MiniBacia.MGB.32,-59.995113521738325,-17.59578958133615
32,33,- MiniBacia.MGB.33,-51.87329147107706,-25.02436623741137
33,34,- MiniBacia.MGB.34,-64.79961364777083,-21.47887275228864
34,35,- MiniBacia.MGB.35,-54.38063547897248,-15.727638471479624
35,36,- MiniBacia.MGB.36,-53.051249864312794,-18.384456943848516
36,37,ITAJUBA - MiniBacia.MGB.37,-45.4227598327689,-22.567631351072794
37,38,- MiniBacia.MGB.38,-50.002975739243254,-25.316112559123294
38,39,- MiniBacia.MGB.39,-66.33320031308838,-19.245356572529094
39,40,- MiniBacia.MGB.40,-62.32164687882052,-19.482075918110638
40,41,- MiniBacia.MGB.41,-53.52867573400133,-19.02306795560119
41,42,- MiniBacia.MGB.42,-46.58311802765149,-19.74749900669884
42,43,- MiniBacia.MGB.43,-58.414101272905995,-30.77304034834664
43,44,- MiniBacia.MGB.44,-61.42534178280936,-22.699047192959764
44,45,- MiniBacia.MGB.45,-63.63701317461795,-25.117386751075404
45,46,- MiniBacia.MGB.46,-61.257868579907026,-33.87526043745931
46,47,- MiniBacia.MGB.47,-66.4483593561479,-20.100550766320165
47,48,- MiniBacia.MGB.48,-63.72550335861067,-25.759392116944568
48,49,- MiniBacia.MGB.49,-63.14918199243011,-25.497349912275787
49,50,- MiniBacia.MGB.50,-55.1984088092349,-24.337354588905082
50,51,- MiniBacia.MGB.51,-54.626814266390745,-19.61740310533731
51,52,- MiniBacia.MGB.52,-61.61505240466284,-23.16364692269671
52,53,- MiniBacia.MGB.53,-62.67845168767047,-25.77915913660477
53,54,- MiniBacia.MGB.54,-64.54551441451538,-26.46423124196566
54,55,- MiniBacia.MGB.55,-61.39280045514847,-21.628678511327816
55,56,- MiniBacia.MGB.56,-56.12584172821035,-21.99002202093084
56,57,- MiniBacia.MGB.57,-60.14039648485296,-29.185636926431926
57,58,- MiniBacia.MGB.58,-61.369103162794026,-22.159820535650155
58,59,- MiniBacia.MGB.59,-61.76876401127771,-31.974189216911576
59,60,- MiniBacia.MGB.60,-62.832774507099764,-21.460979530912415
60,61,- MiniBacia.MGB.61,-55.91591683375225,-30.89089524619388
61,62,- MiniBacia.MGB.62,-61.83388862322701,-20.33811739476711
62,63,- MiniBacia.MGB.63,-48.20851322520149,-19.425645276765547
63,64,- MiniBacia.MGB.64,-54.074941969460625,-31.409022494058817
64,65,- MiniBacia.MGB.65,-54.66456207000077,-20.61513078632654
65,66,- MiniBacia.MGB.66,-55.28979550636112,-33.27939572333249
66,67,- MiniBacia.MGB.67,-51.9674167315786,-17.237216469693216
67,68,- MiniBacia.MGB.68,-49.69532993313218,-28.392288044975665
68,69,- MiniBacia.MGB.69,-63.612631812501206,-32.0480855242754
69,70,- MiniBacia.MGB.70,-51.35365491548677,-17.297774914940124
70,71,- MiniBacia.MGB.71,-46.23634618663183,-21.986297254481357
71,72,- MiniBacia.MGB.72,-46.17337533247676,-22.788677651625928
72,73,- MiniBacia.MGB.73,-57.18027447948343,-28.799432946908325
